id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_BP_40;Haiming_2_[61];['INET_BP_40'];['SEQ_1455_p'];48.57063;13.75753;DE;None;"{'GCV_mean_kWh_per_m3': 11.305, 'country_code': ""['DE','AT']"", 'end_year': None, 'entsog_id': [61], 'from_TSO': 'multiple_TSOs', 'from_country': 'DE', 'is_EU_to_EU': 1.0, 'max_cap_from_to_M_m3_per_d': 21.35172125620859, 'max_cap_to_from_M_m3_per_d': 14.621574259505017, 'start_year': None, 'to_TSO': 'multiple_TSOs', 'to_country': 'AT', 'nuts_id_1': 'DE2', 'nuts_id_2': 'DE22', 'nuts_id_3': 'DE228'}";{'GCV_mean_kWh_per_m3': 0, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': 'raw', 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
INET_BP_41;Hilvarenbeek_[4];['INET_BP_41'];['SEQ_350_p'];51.447;5.043;BE;None;"{'GCV_mean_kWh_per_m3': 9.77, 'country_code': ""['NL','BE']"", 'end_year': None, 'entsog_id': [4], 'from_TSO': 'Gasunie TS', 'from_country': 'NL', 'is_EU_to_EU': 1.0, 'max_cap_from_to_M_m3_per_d': 56.480449305669204, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 'Fluxys Belgium', 'to_country': 'BE', 'nuts_id_1': 'BE2', 'nuts_id_2': 'BE21', 'nuts_id_3': 'BE213'}";{'GCV_mean_kWh_per_m3': 0, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': 'raw', 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
INET_BP_42;Imatra_[211];['INET_BP_42'];['INET_N_1294'];60.5549;28.065696;RU;None;"{'GCV_mean_kWh_per_m3': 11.2865, 'country_code': ""['RU','FI']"", 'end_year': None, 'entsog_id': [211], 'from_TSO': 'Gazprom', 'from_country': 'RU', 'is_EU_to_EU': 0.0, 'max_cap_from_to_M_m3_per_d': 19.35467110163119, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 'Gasum Oy', 'to_country': 'FI', 'nuts_id_1': 'RU', 'nuts_id_2': 'RU', 'nuts_id_3': 'RU'}";{'GCV_mean_kWh_per_m3': 0, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': 'raw', 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
INET_BP_43;Irun_[76];['INET_BP_43'];['SEQ_54_p'];43.333204;-1.743022;FR;None;"{'GCV_mean_kWh_per_m3': 11.678, 'country_code': ""['ES','FR']"", 'end_year': None, 'entsog_id': [76], 'from_TSO': 'Enagas', 'from_country': 'ES', 'is_EU_to_EU': 1.0, 'max_cap_from_to_M_m3_per_d': 5.278546664081234, 'max_cap_to_from_M_m3_per_d': 5.278546664081234, 'start_year': None, 'to_TSO': 'TEREGA', 'to_country': 'FR', 'nuts_id_1': 'FRI', 'nuts_id_2': 'FRI1', 'nuts_id_3': 'FRI15'}";{'GCV_mean_kWh_per_m3': 0, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': 'raw', 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
INET_BP_44;Isaccea_[221, 226];['INET_BP_44'];['INET_N_741'];45.265423;28.460727;RO;None;"{'GCV_mean_kWh_per_m3': 11.325, 'country_code': ""['UA','RO']"", 'end_year': None, 'entsog_id': [221, 226], 'from_TSO': 'Ukrtransgaz', 'from_country': 'UA ', 'is_EU_to_EU': 0.0, 'max_cap_from_to_M_m3_per_d': 98.01381397421504, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 'Transgaz', 'to_country': 'RO', 'nuts_id_1': 'RO2', 'nuts_id_2': 'RO22', 'nuts_id_3': 'RO225'}";{'GCV_mean_kWh_per_m3': 0, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': 'raw', 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
INET_BP_45;Jemgum_[74];['INET_BP_45'];['INET_N_264'];53.20603;7.220981;DE;None;"{'GCV_mean_kWh_per_m3': None, 'country_code': ""['DE','NL']"", 'end_year': None, 'entsog_id': [74], 'from_TSO': 'multiple_TSOs', 'from_country': 'DE', 'is_EU_to_EU': 1.0, 'max_cap_from_to_M_m3_per_d': 33.97624536113621, 'max_cap_to_from_M_m3_per_d': 24.422075899149178, 'start_year': None, 'to_TSO': 'Gasunie TS', 'to_country': 'NL', 'nuts_id_1': 'DE9', 'nuts_id_2': 'DE94', 'nuts_id_3': 'DE94C'}";{'GCV_mean_kWh_per_m3': None, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': None, 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
INET_BP_46;Kamminke_[82];['INET_BP_46'];['SEQ_4952_p'];53.91297;14.21975;DE;None;"{'GCV_mean_kWh_per_m3': 11.228, 'country_code': ""['DE','PL']"", 'end_year': None, 'entsog_id': [82], 'from_TSO': 'ONTRAS', 'from_country': 'DE', 'is_EU_to_EU': 1.0, 'max_cap_from_to_M_m3_per_d': 0.008797577773468724, 'max_cap_to_from_M_m3_per_d': 0.008797577773468724, 'start_year': None, 'to_TSO': 'GAZ-SYSTEM', 'to_country': 'PL', 'nuts_id_1': 'DE8', 'nuts_id_2': 'DE80', 'nuts_id_3': 'DE80N'}";{'GCV_mean_kWh_per_m3': 0, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': 'raw', 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
INET_BP_47;Karksi_[54];['INET_BP_47'];['SEQ_2146_p'];57.92203;25.61375;EE;None;"{'GCV_mean_kWh_per_m3': 11.2855, 'country_code': ""['EE','LV']"", 'end_year': None, 'entsog_id': [54], 'from_TSO': 'Conexus', 'from_country': 'EE', 'is_EU_to_EU': 1.0, 'max_cap_from_to_M_m3_per_d': 5.542473997285295, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 'Elering', 'to_country': 'LV', 'nuts_id_1': 'EE0', 'nuts_id_2': 'EE00', 'nuts_id_3': 'EE008'}";{'GCV_mean_kWh_per_m3': 0, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': 'raw', 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
INET_BP_48;Kiefersfelden_[69];['INET_BP_48'];['SEQ_1455_p'];48.57063;13.75753;DE;None;"{'GCV_mean_kWh_per_m3': 11.28, 'country_code': ""['DE','AT']"", 'end_year': None, 'entsog_id': [69], 'from_TSO': 'bayernets', 'from_country': 'DE', 'is_EU_to_EU': 1.0, 'max_cap_from_to_M_m3_per_d': 2.023442887897806, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 'AGGM', 'to_country': 'AT', 'nuts_id_1': 'DE2', 'nuts_id_2': 'DE22', 'nuts_id_3': 'DE228'}";{'GCV_mean_kWh_per_m3': 0, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': 'raw', 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
INET_BP_49;Kiemenai_[55];['INET_BP_49'];['SEQ_1704_p'];56.26932;24.25988;LT;None;"{'GCV_mean_kWh_per_m3': 11.5565, 'country_code': ""['LV','LT']"", 'end_year': None, 'entsog_id': [55], 'from_TSO': 'Amber Grid', 'from_country': 'LV', 'is_EU_to_EU': 1.0, 'max_cap_from_to_M_m3_per_d': 5.947162574864857, 'max_cap_to_from_M_m3_per_d': 5.727223130528138, 'start_year': None, 'to_TSO': 'Conexus', 'to_country': 'LT', 'nuts_id_1': 'LT0', 'nuts_id_2': 'LT02', 'nuts_id_3': 'LT025'}";{'GCV_mean_kWh_per_m3': 0, 'country_code': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'from_country': 0, 'is_EU_to_EU': 0, 'max_cap_from_to_M_m3_per_d': 0.0, 'max_cap_to_from_M_m3_per_d': 0.0, 'start_year': None, 'to_TSO': 0, 'to_country': 0};{'GCV_mean_kWh_per_m3': 'raw', 'country_code': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'from_country': 'raw', 'is_EU_to_EU': 'raw', 'max_cap_from_to_M_m3_per_d': 'raw', 'max_cap_to_from_M_m3_per_d': 'raw', 'start_year': None, 'to_TSO': 'raw', 'to_country': 'raw'};{}
